ImageName,Car,Bus,Other,Bridge,Bicycle,Palm,Stair,Motorcycle,Chimney,Crosswalk,Hydrant,Traffic Light
03000.png,0.933,0.0218,0.0138,0.0076,0.0065,0.005,0.0033,0.0024,0.0019,0.0018,0.0016,0.0012
03001.png,0.4808,0.0134,0.1661,0.0154,0.0388,0.0136,0.0104,0.0097,0.011,0.1112,0.0055,0.124
03002.png,0.991,0.0011,0.0004,0.0013,0.0009,0.0013,0.0007,0.0013,0.0004,0.0005,0.0005,0.0006
03003.png,0.0018,0.9959,0.0002,0.0003,0.0004,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
03004.png,0.9743,0.0048,0.0023,0.0042,0.0023,0.0026,0.0015,0.0019,0.0013,0.0024,0.0013,0.0011
03005.png,0.9942,0.0002,0.0004,0.0004,0.0003,0.002,0.0003,0.0003,0.0002,0.0005,0.0003,0.0008
03006.png,0.9885,0.0009,0.0008,0.0011,0.0008,0.0014,0.0008,0.001,0.0005,0.0023,0.0004,0.0015
03007.png,0.9839,0.0045,0.002,0.0024,0.0015,0.0012,0.0012,0.001,0.0006,0.0006,0.0005,0.0005
03008.png,0.0004,0.0002,0.0004,0.0003,0.9971,0.0002,0.0003,0.0003,0.0003,0.0003,0.0002,0.0002
03009.png,0.9959,0.0003,0.0003,0.0004,0.0003,0.0003,0.0002,0.0003,0.0003,0.0006,0.0002,0.0011
03010.png,0.0003,0.9978,0.0002,0.0002,0.0003,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002
03011.png,0.989,0.0009,0.0006,0.0037,0.0009,0.0005,0.0009,0.0009,0.0005,0.0005,0.0006,0.0009
03012.png,0.9904,0.0015,0.0012,0.0014,0.0009,0.0008,0.0007,0.0008,0.0004,0.0007,0.0005,0.0007
03013.png,0.5053,0.0446,0.1005,0.0738,0.0175,0.0154,0.0268,0.0206,0.0092,0.0713,0.0127,0.1022
03014.png,0.9819,0.0015,0.0028,0.003,0.0022,0.0017,0.0015,0.0015,0.001,0.0009,0.0009,0.001
03015.png,0.0017,0.0006,0.0025,0.0007,0.0003,0.9878,0.0007,0.0006,0.0014,0.0005,0.0004,0.0029
03016.png,0.0003,0.9981,0.0002,0.0001,0.0002,0.0002,0.0002,0.0001,0.0001,0.0002,0.0001,0.0001
03017.png,0.0013,0.0004,0.0005,0.9943,0.0004,0.0004,0.0005,0.0004,0.0004,0.0006,0.0003,0.0005
03018.png,0.0002,0.0004,0.0003,0.0003,0.0003,0.0002,0.0002,0.0002,0.0002,0.9972,0.0002,0.0003
03019.png,0.0002,0.0004,0.0002,0.0002,0.0002,0.0002,0.0003,0.0002,0.0002,0.9975,0.0002,0.0002
03020.png,0.0002,0.0004,0.0003,0.0002,0.0002,0.0002,0.0003,0.0002,0.0002,0.9974,0.0002,0.0002
03021.png,0.0006,0.9975,0.0003,0.0002,0.0002,0.0002,0.0002,0.0001,0.0002,0.0002,0.0001,0.0002
03022.png,0.989,0.0006,0.0013,0.0018,0.0005,0.0013,0.0006,0.0004,0.0004,0.0014,0.0005,0.0021
03023.png,0.0012,0.0004,0.0004,0.0007,0.0002,0.0007,0.0005,0.0004,0.0004,0.0006,0.0002,0.9942
03024.png,0.9964,0.0002,0.0004,0.0003,0.0003,0.0004,0.0002,0.0002,0.0002,0.0005,0.0002,0.0006
03025.png,0.6397,0.0092,0.2266,0.0215,0.0112,0.0314,0.0107,0.0102,0.0095,0.011,0.0099,0.0089
03026.png,0.0305,0.0104,0.8172,0.0347,0.0153,0.0253,0.0059,0.0072,0.0193,0.0069,0.0179,0.0095
03027.png,0.992,0.0011,0.0005,0.001,0.0009,0.0011,0.0006,0.0009,0.0004,0.0005,0.0004,0.0006
03028.png,0.6573,0.0157,0.089,0.0224,0.0107,0.1054,0.0182,0.0147,0.0113,0.0284,0.0124,0.0144
03029.png,0.001,0.0004,0.0027,0.9911,0.0005,0.0006,0.0007,0.0004,0.0009,0.0004,0.0005,0.0007
03030.png,0.0001,0.0002,0.0001,0.0001,0.0002,0.0001,0.0002,0.0002,0.0003,0.0001,0.9983,0.0001
03031.png,0.9925,0.0005,0.0004,0.0009,0.0007,0.001,0.0006,0.0008,0.0004,0.0009,0.0003,0.001
03032.png,0.0008,0.9952,0.0007,0.0005,0.0005,0.0005,0.0004,0.0002,0.0004,0.0004,0.0002,0.0003
03033.png,0.0013,0.0007,0.0002,0.0004,0.0002,0.0002,0.0003,0.0003,0.0002,0.9956,0.0002,0.0003
03034.png,0.0003,0.0002,0.0004,0.0003,0.0003,0.9964,0.0003,0.0003,0.0003,0.0003,0.0003,0.0005
03035.png,0.6897,0.0217,0.0877,0.0297,0.0176,0.0493,0.0212,0.0128,0.0121,0.0337,0.0119,0.0126
03036.png,0.5391,0.0039,0.4101,0.016,0.0026,0.004,0.0037,0.0015,0.0029,0.0059,0.0019,0.0083
03037.png,0.1521,0.0105,0.665,0.0137,0.0195,0.0232,0.0235,0.014,0.0504,0.0084,0.0106,0.0091
03038.png,0.8792,0.0012,0.0016,0.003,0.0027,0.0039,0.0022,0.0032,0.0015,0.0019,0.0011,0.0985
03039.png,0.0004,0.0003,0.0007,0.0003,0.9963,0.0003,0.0003,0.0003,0.0004,0.0003,0.0002,0.0002
03040.png,0.0036,0.0031,0.1534,0.0488,0.0045,0.005,0.0077,0.0046,0.7575,0.005,0.0041,0.0029
03041.png,0.993,0.001,0.0004,0.0008,0.0006,0.0011,0.0004,0.0006,0.0003,0.0007,0.0003,0.0008
03042.png,0.9779,0.0017,0.0013,0.0018,0.0083,0.0012,0.0013,0.0023,0.0008,0.0014,0.0011,0.0008
03043.png,0.0004,0.0004,0.0003,0.0004,0.0003,0.9961,0.0003,0.0004,0.0003,0.0004,0.0004,0.0003
03044.png,0.0005,0.0003,0.0008,0.0004,0.0005,0.9944,0.0004,0.0004,0.0008,0.0003,0.0003,0.0009
03045.png,0.9829,0.001,0.0016,0.0023,0.0022,0.003,0.0011,0.0024,0.0009,0.0009,0.0008,0.001
03046.png,0.0009,0.0003,0.0016,0.0007,0.0005,0.0022,0.0006,0.0006,0.0009,0.0006,0.0006,0.9904
03047.png,0.0003,0.0007,0.0007,0.0005,0.0002,0.0003,0.0003,0.0002,0.0003,0.9959,0.0002,0.0004
03048.png,0.9831,0.0012,0.0048,0.0018,0.0011,0.0025,0.0008,0.0009,0.0006,0.0017,0.0005,0.001
03049.png,0.0055,0.0031,0.932,0.015,0.0031,0.0094,0.0048,0.003,0.01,0.0075,0.0027,0.004
